,1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,TotalSF,SalePrice
0,11.6926225853,11.6861893794,0.0,0.730463147119,1.54096275563,1Fam,1.82033410364,1.54096275563,11.1703267906,0.0,1.19431763788,2.25967378672,0.730463147119,0.0,1.19431763788,7.4832956423,0.730463147119,Norm,Norm,SBrkr,0.0,1.82033410364,1.19431763788,VinylSd,VinylSd,1.82033410364,1.54096275563,0.0,PConc,1.19431763788,2.25967378672,10.506270963,1.19431763788,2.05564153806,1.19431763788,2.05564153806,Attchd,14.1875268145,13.698887979,0.730463147119,GasA,0.0,2Story,0.730463147119,1.19431763788,Lvl,0.0,19.2121823132,Inside,5.83132789274,1.54096275563,0.0,2.88584647249,RL,8.05912577551,BrkFace,None,0.0,1.82033410364,CollgCr,5.71466890265,1.82033410364,2.44026837836,1.19431763788,0.0,1.54096275563,CompShg,Gable,Normal,WD,0.0,0.730463147119,2.60259446877,11.6926225853,0.0,14.1875268145,14.1875268145,1.19431763788,14.9765905724,12.2476991164
1,12.7922762264,0.0,0.0,0.730463147119,1.54096275563,1Fam,1.82033410364,0.730463147119,12.0628316534,0.0,0.0,2.25967378672,0.0,0.730463147119,1.19431763788,8.8978439468,0.730463147119,Feedr,Norm,SBrkr,0.0,1.82033410364,1.54096275563,MetalSd,MetalSd,1.82033410364,2.05564153806,0.730463147119,CBlock,1.19431763788,2.25967378672,10.062098309,1.19431763788,2.05564153806,1.19431763788,2.05564153806,Attchd,14.1451380122,12.7922762264,0.0,GasA,0.0,1Story,0.730463147119,1.54096275563,Lvl,0.0,19.7122047789,FR2,6.22121363288,1.54096275563,0.0,2.05564153806,RL,0.0,None,None,0.0,2.44026837836,Veenker,0.0,2.44026837836,2.25967378672,1.19431763788,0.0,1.54096275563,CompShg,Gable,Normal,WD,0.0,0.730463147119,2.25967378672,12.7922762264,9.01020557897,14.1451380122,14.1451380122,0.730463147119,14.9230999816,12.1090164423
2,11.8920390591,11.7245984762,0.0,0.730463147119,1.54096275563,1Fam,1.82033410364,1.19431763788,10.200342662,0.0,1.19431763788,2.25967378672,0.730463147119,0.0,1.19431763788,9.91705993866,0.730463147119,Norm,Norm,SBrkr,0.0,1.82033410364,1.19431763788,VinylSd,VinylSd,1.82033410364,2.05564153806,0.730463147119,PConc,1.19431763788,2.25967378672,10.7755362589,1.19431763788,2.05564153806,1.19431763788,2.05564153806,Attchd,14.1844036043,13.8320854546,0.730463147119,GasA,0.0,2Story,0.730463147119,1.19431763788,Lvl,0.0,20.3472409087,Inside,5.91494001896,0.0,0.0,2.88584647249,RL,7.6465380079,BrkFace,None,0.0,3.01134024326,CollgCr,5.05337104942,1.82033410364,2.44026837836,1.19431763788,0.0,1.54096275563,CompShg,Gable,Normal,WD,0.0,0.730463147119,2.25967378672,11.8920390591,0.0,14.1844036043,14.1859655407,1.19431763788,15.1496776533,12.3171711673
3,12.0136830203,11.3540941668,0.0,0.730463147119,1.54096275563,1Fam,0.730463147119,1.54096275563,8.27426574112,0.0,0.0,2.25967378672,0.730463147119,0.0,1.82033410364,10.4684999101,0.730463147119,Norm,Norm,SBrkr,8.79773559212,1.82033410364,1.54096275563,Wd Sdng,Wd Shng,1.82033410364,1.19431763788,0.730463147119,BrkTil,0.730463147119,2.25967378672,10.9182529278,1.54096275563,2.05564153806,1.54096275563,2.05564153806,Detchd,14.1797138127,13.7113641595,0.0,GasA,1.19431763788,2Story,0.730463147119,1.19431763788,Lvl,0.0,19.6915526768,Corner,5.68450665682,0.0,0.0,3.01134024326,RL,0.0,None,None,0.0,1.82033410364,Crawfor,4.74513239606,1.82033410364,2.44026837836,1.19431763788,0.0,1.54096275563,CompShg,Gable,Abnorml,WD,0.0,0.730463147119,2.44026837836,11.3540941668,0.0,14.0475286362,14.1356515029,0.0,14.8571208107,11.8494048444
4,12.5105879133,12.2713647456,0.0,0.730463147119,1.82033410364,1Fam,1.82033410364,0.0,10.9711293997,0.0,1.19431763788,2.25967378672,0.730463147119,0.0,1.19431763788,10.2210511965,0.730463147119,Norm,Norm,SBrkr,0.0,1.82033410364,1.19431763788,VinylSd,VinylSd,1.82033410364,2.05564153806,0.730463147119,PConc,1.19431763788,2.25967378672,11.6277075999,1.54096275563,2.05564153806,1.19431763788,2.05564153806,Attchd,14.1828410045,14.4800294956,0.730463147119,GasA,0.0,2Story,0.730463147119,1.19431763788,Lvl,0.0,21.3251598529,FR2,6.31473475683,0.0,0.0,2.88584647249,RL,9.39182713476,BrkFace,None,0.0,1.54096275563,NoRidge,6.31473475683,1.82033410364,2.60259446877,1.19431763788,0.0,1.54096275563,CompShg,Gable,Normal,WD,0.0,0.730463147119,2.75025029749,12.5105879133,8.01388369737,14.1828410045,14.1828410045,1.19431763788,15.8523115733,12.4292201968
5,11.4938202736,10.5895744248,9.17805066442,0.730463147119,0.730463147119,1Fam,1.82033410364,1.54096275563,11.267216541,0.0,1.19431763788,2.25967378672,0.730463147119,0.0,1.19431763788,5.80273872402,0.730463147119,Norm,Norm,SBrkr,0.0,1.82033410364,1.54096275563,VinylSd,VinylSd,1.19431763788,1.54096275563,0.0,Wood,0.730463147119,2.25967378672,10.1690071305,1.19431763788,2.05564153806,1.54096275563,2.05564153806,Attchd,14.1718841822,13.0159629148,0.730463147119,GasA,0.0,1.5Fin,0.730463147119,1.54096275563,Lvl,0.0,21.2822827965,Inside,6.33752939459,0.0,0.0,2.75025029749,RL,0.0,None,Shed,11.1475382477,0.730463147119,Mitchel,4.49201774292,1.82033410364,2.05564153806,1.19431763788,0.0,1.54096275563,CompShg,Gable,Normal,WD,0.0,0.730463147119,2.05564153806,11.4938202736,4.96993905245,14.1718841822,14.1750180347,1.54096275563,14.4218793328,11.8706069022
6,13.6702072594,0.0,0.0,0.730463147119,1.54096275563,1Fam,1.82033410364,0.0,13.0310926245,0.0,1.19431763788,2.25967378672,0.730463147119,0.0,0.0,9.15574970588,0.730463147119,Norm,Norm,SBrkr,0.0,1.82033410364,1.19431763788,VinylSd,VinylSd,1.82033410364,1.19431763788,0.730463147119,PConc,1.19431763788,2.25967378672,10.893541333,1.19431763788,2.05564153806,1.19431763788,2.05564153806,Attchd,14.1890874262,13.6702072594,0.0,GasA,0.0,1Story,0.730463147119,1.19431763788,Lvl,0.0,19.9075288729,Inside,6.09862610497,1.54096275563,0.0,2.05564153806,RL,7.94450293477,Stone,None,0.0,2.88584647249,Somerst,5.59142712461,1.82033410364,2.60259446877,1.19431763788,0.0,1.54096275563,CompShg,Gable,Normal,WD,0.0,0.730463147119,2.44026837836,13.6557805077,8.64931139996,14.1890874262,14.1906473764,0.730463147119,15.8895115117,12.6346062839
7,12.413831308,12.0771490477,0.0,0.730463147119,1.54096275563,1Fam,1.82033410364,1.19431763788,11.7022485075,4.59715671171,0.0,0.730463147119,0.730463147119,0.0,1.19431763788,8.27426574112,0.730463147119,PosN,Norm,SBrkr,8.39538258224,1.82033410364,1.54096275563,HdBoard,HdBoard,1.82033410364,2.05564153806,1.19431763788,CBlock,1.19431763788,2.25967378672,10.189934126,1.19431763788,2.05564153806,1.19431763788,2.05564153806,Attchd,14.1403978212,14.320888266,0.730463147119,GasA,0.0,2Story,0.730463147119,1.54096275563,Lvl,0.0,20.0238615688,Corner,6.22121363288,0.0,0.0,2.88584647249,RL,8.51121971015,Stone,Shed,9.39182713476,1.19431763788,NWAmes,8.14731558862,2.05564153806,2.44026837836,1.19431763788,0.0,1.54096275563,CompShg,Gable,Normal,WD,0.0,0.730463147119,2.44026837836,12.413831308,8.4635637323,14.1403978212,14.1403978212,1.54096275563,15.7020212235,12.2060776455
8,12.186750882,11.3397786879,0.0,0.730463147119,1.19431763788,1Fam,1.82033410364,1.54096275563,0.0,0.0,2.25967378672,2.25967378672,0.0,0.0,1.82033410364,11.9873635553,0.730463147119,Artery,Norm,FuseF,8.15813268307,1.82033410364,1.54096275563,BrkFace,Wd Shng,1.82033410364,2.05564153806,1.19431763788,BrkTil,1.19431763788,1.19431763788,10.1053261355,1.19431763788,2.05564153806,1.54096275563,0.730463147119,Detchd,14.0733838208,13.8113784059,0.0,GasA,1.19431763788,1.5Fin,1.19431763788,1.54096275563,Lvl,0.0,17.9898713439,Inside,5.39227633723,1.54096275563,0.0,2.75025029749,RM,0.0,None,None,0.0,2.25967378672,OldTown,0.0,1.82033410364,2.44026837836,1.19431763788,0.0,1.54096275563,CompShg,Gable,Abnorml,WD,0.0,0.730463147119,2.60259446877,11.9873635553,6.44823231602,14.0733838208,14.1038515117,1.19431763788,15.1737797789,11.7745279009
9,12.3354313995,0.0,0.0,0.730463147119,1.19431763788,2fmCon,1.82033410364,1.54096275563,11.6765155459,0.0,1.19431763788,2.25967378672,0.730463147119,0.0,1.82033410364,7.33860727004,0.730463147119,Artery,Artery,SBrkr,0.0,1.82033410364,1.54096275563,MetalSd,MetalSd,1.82033410364,2.05564153806,1.19431763788,BrkTil,0.730463147119,2.25967378672,8.15813268307,0.730463147119,2.05564153806,1.19431763788,1.19431763788,Attchd,14.0862432272,12.3354313995,0.0,GasA,0.0,1.5Unf,1.19431763788,1.54096275563,Lvl,0.0,18.7125437052,Corner,5.35720320242,1.54096275563,0.0,1.82033410364,RL,0.0,None,None,0.0,0.0,BrkSide,1.82033410364,2.05564153806,2.05564153806,1.19431763788,0.0,1.54096275563,CompShg,Gable,Normal,WD,0.0,0.730463147119,2.05564153806,12.0999287713,0.0,14.0862432272,14.1038515117,1.19431763788,14.2876167929,11.678448378
